Sample,Toploader,"n
(cm-2)","μ_xx
(cm^2/Vs)","μ_yy
(cm^2/Vs)",Average μ (cm^2/Vs),mean free path (nm),notes
JS708,,7.91E+11,6.66E+03,1.38E+03,4.02E+03,59,
JS707,,8.38E+11,7.34E+03,1.48E+04,1.11E+04,167,
JS706,,1.16E+12,8.36E+03,2.08E+04,1.46E+04,259,
JS705,,7.79E+11,2.22E+04,1.35E+04,1.79E+04,260,
JS704,,4.30E+11,5.35E+03,1.04E+04,7.88E+03,85,
JS703,,6.65E+11,2.57E+04,1.02E+04,1.80E+04,242,
JS702,,6.46E+11,2.19E+04,1.05E+04,1.62E+04,215,
JS701,,5.96E+11,7.37E+03,4.06E+04,2.40E+04,306,
JS700,,4.36E+11,9.78E+03,9.68E+03,9.73E+03,106,
JS699,,5.33E+11,4.76E+03,2.05E+04,1.26E+04,152,
JS698,,1.19E+12,5.50E+03,5.50E+03,5.50E+03,9.90E+01,
JS697,,6.97E+11,1.08E+04,2.23E+04,1.66E+04,2.28E+02,
JS696,,6.10E+11,9.34E+03,1.53E+04,1.23E+04,1.59E+02,
JS695,,5.86E+11,3.66E+04,5.39E+03,2.10E+04,2.65E+02,
JS694,,6.84E+11,2.90E+04,7.71E+03,1.84E+04,2.50E+02,
JS693,?,?,?,?,?,?,
JS692,,2.75E+11,5.91E+03,3.21E+02,3.12E+03,2.70E+01,
JS691,,3.03E+11,2.94E+04,2.94E+04,2.94E+04,2.67E+02,
JS690,,3.38E+11,4.95E+03,3.57E+03,4.26E+03,4.09E+01,
JS689,,1.19E+12,5.50E+03,5.50E+03,5.50E+03,9.90E+01,
JS688,,1.20E+12,7.13E+03,2.53E+04,1.62E+04,2.93E+02,
JS687,,1.60E+12,1.22E+04,9.48E+03,1.08E+04,2.26E+02,
JS686,,7.13E+11,4.88E+03,1.61E+03,3.25E+03,4.52E+01,
JS685,,1.75E+12,6.69E+02,1.14E+02,3.92E+02,8.55E+00,
JS684,,-6.52E+10,-1.48E+02,-2.83E+02,-2.16E+02,#NUM!,
JS683,,9.08E+11,2.54E+02,8.45E+02,5.50E+02,8.64E+00,
JS682,,1.16E+12,6.01E+03,1.03E+04,8.16E+03,1.45E+02,
JS681,,8.17E+11,5.25E+03,3.51E+03,4.38E+03,6.53E+01,
JS680,,5.13E+11,1.62E+03,3.21E+03,2.42E+03,2.85E+01,
JS679,,1.08E+12,2.65E+04,4.48E+03,1.55E+04,2.66E+02,
JS678,,1.12E+12,5.75E+03,5.25+03,5.75E+03,1.00E+02,
JS677,,9.59E+11,7.60E+03,3.22E+03,5.41E+03,8.74E+01,
JS676,,1.15E+12,2.07E+03,7.86+03,2.07E+03,3.66E+01,
JS675,,1.36E+12,3.26E+03,1.50E+04,9.13E+03,1.76E+02,
JS674,,1.14E+12,1.54E+04,5.93E+03,1.07E+04,1.88E+02,
JS673,,1.19E+12,2.06E+04,5.28E+03,1.29E+04,2.33E+02,
JS672,,9.56E+11,1.33E+03,1.41E+05,7.12E+04,1.15E+03,
JS671,,5.98E+11,1.37E+03,1.40E+04,7.69E+03,9.81E+01,
JS670,,9.00E+11,2.98E+03,1.44E+04,8.69E+03,1.36E+02,
JS669,,1.82E+12,2.07E+03,4.47E+03,3.27E+03,7.28E+01,
JS668,,3.53E+12,1.46E+03,1.57E+03,1.52E+03,4.70E+01,
JS667,,-2.43E+14,7.01E+00,7.01E+00,7.01E+00,#NUM!,
JS666,,-4.03E+13,-6.52E+02,-6.52E+02,-6.52E+02,#NUM!,
JS665,?,?,?,?,?,?,
JS664,?,?,?,?,?,?,
JS663,,1.09E+11,3.40E+01,3.40E+01,3.40E+01,1.85E-01,
JS662,,1.91E+14,1.65E+02,1.65E+02,1.65E+02,3.76E+01,
JS661,?,?,?,?,?,?,
JS660,?,?,?,?,?,?,
JS659,?,?,?,?,?,?,
JS658,?,?,?,?,?,?,
JS657,?,?,?,?,?,?,
JS656,?,?,?,?,?,?,
JS655,?,?,?,?,?,?,
JS654,,6.50E+12,6.66E+02,3.47E+03,2.07E+03,8.70E+01,
JS653,,1.33E+13,3.88E+02,8.36E+03,4.37E+03,2.63E+02,
JS652,?,?,?,?,?,?,
JS651,,9.53E+11,2.40E+03,1.27E+03,1.84E+03,2.96E+01,
JS650,,1.33E+12,3.57E+03,3.57E+03,3.57E+03,6.79E+01,
JS649,?,?,?,?,?,?,
JS648,?,?,?,?,?,?,
JS647,?,?,?,?,?,?,
JS646,?,?,?,?,?,?,
JS645,?,?,?,?,?,?,
JS644,?,?,?,?,?,?,
JS643,?,?,?,?,?,?,
JS642,?,?,?,?,?,?,
JS641,?,?,?,?,?,?,
JS640,?,?,?,?,?,?,
JS639,?,?,?,?,?,?,
JS638,?,?,?,?,?,?,
JS637,,1.09E+12,3.04E+03,4.97E+03,4.01E+03,6.90E+01,
JS636,?,?,?,?,?,?,
JS635,,7.26E+12,6.45E+03,5.89E+03,6.17E+03,2.74E+02,
JS634,,7.44E+11,6.89E+03,1.07E+04,8.80E+03,125,
JS633,,8.14E+11,6.81E+03,1.29E+04,9.86E+03,147,
JS632,,9.75E+11,1.39E+04,7.31E+03,1.06E+04,173,
JS631,,7.34E+11,9.09E+03,6.01E+03,7.55E+03,107,
JS630,,6.41E+11,4.13E+03,2.33E+03,3.23E+03,43,
JS629,,9.17E+11,7.21E+03,1.18E+04,9.51E+03,150,
JS628,,8.24E+11,1.27E+04,7.94E+03,1.03E+04,155,
JS627,,1.06E+12,1.21E+04,7.78E+03,9.94E+03,169,
JS626,,9.49E+11,1.03E+04,1.45E+04,1.24E+04,199,
JS625,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS624,,9.20E+11,5.03E+03,1.22E+04,8.62E+03,136,
JS623,,1.16E+12,2.84E+03,3.83E+03,3.34E+03,59,
JS622,,2.06E+12,3.80E+03,1.87E+03,2.84E+03,67,
JS621,,1.77E+12,2.67E+03,4.74E+03,3.71E+03,81,
JS620,,3.16E+12,1.42E+03,2.42E+03,1.92E+03,56,2-pt room temp R: 1.5 kOhm
JS619,,1.16E+12,3.72E+03,2.30E+03,3.01E+03,53,2-pt room temp R: 2 kOhm
JS618,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,2-pt room temp R: 100 kOhm
JS617,,1.78E+12,1.08E+04,9.53E+03,1.02E+04,224,2-pt room temp R: 1 kOhm
JS616,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,2-pt room temp R: 70 kOhm
JS615,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,2-pt room temp R: 10 kOhm
JS614,,3.76E+11,1.86E+03,3.56E+03,2.71E+03,27,2-pt room temp R: 10 kOhm
JS612,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS611,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS610,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS609,not conducting,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS607,,6.43E+11,4.02E+04,3.15E+04,3.59E+04,474,
JS606,,5.50E+11,1.73E+04,2.91E+04,2.32E+04,284,
JS605,,4.62E+11,1.58E+04,2.01E+04 (measured at 0.5T),1.80E+04,201,
JS603,,2.48E+11,1.01E+03,5.32E+02,7.71E+02,6,
JS602,,8.66E+11,2.34E+04,2.33E+04,2.34E+04,359,
JS601,,4.94E+11,1.39E+04,9.38E+03,1.16E+04,135,
JS600,,4.30E+11,9.50E+03,1.07E+04,1.01E+04,109,
JS599,,9.19E+11,2.79E+04,2.01E+04,2.40E+04,380,
JS598,,9.84E+11,8.16E+03,1.58E+04,1.20E+04,196,
JS597,,7.81E+11,2.15E+04,2.70E+04,2.43E+04,354,
JS596,,6.85E+11,1.43E+04,2.57E+04,2.00E+04,273,
JS595,,5.97E+11,1.95E+04,1.83E+04,1.89E+04,241,
JS594,,5.70E+11,6.38E+03,1.97E+03,4.18E+03,52,
JS593,,8.14E+11,3.11E+04,2.00E+04,2.56E+04,380,
JS592,,1.29E+12,2.11E+03,1.58E+03,1.85E+03,35,
JS591,,1.56E+12,1.26E+04,1.36E+04,1.31E+04,270,
JS590,,1.69E+12,7.96E+03,7.36E+03,7.66E+03,164,
JS589,,2.96E+12,4.14E+03,4.44E+03,4.29E+03,122,
JS588,,3.56E+12,2.88E+03,4.06E+03,3.47E+03,108,
JS587,,2.05E+12,5.26E+03,2.99E+03,4.13E+03,97,
JS586,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS585,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS584,,4.11E+11,1.78E+03,4.00E+03,2.89E+03,31,
JS583,,4.18E+11,1.12E+03,3.56E+03,TBD,#VALUE!,
